mechanic_id,name,specialization,phone_number
169,Lindsey Fitzgerald,Brakes,480.020.7395
170,Lynn Gomez,Tires,115-874-7407
171,Kenneth Duncan,Transmission,2377627870
172,James Edwards,Transmission,059.904.6262x92489
173,Anita Wright,Electrical,001-475-394-4740x5218
174,Michael Harris,Brakes,+1-389-531-4189x360
175,Donna Young,Electrical,(013)361-3129x251
176,David Wolfe,Engine,981-986-6138x6542
177,Denise Richard,Electrical,926.106.8835
178,Edward Wilson,Tires,+1-068-608-3043x487
179,Alan Gentry,Tires,235.502.3689x79630
180,Jeremy Gonzalez,Tires,9780845874
181,Edward Park,Engine,001-116-390-7828
182,Joe Willis,Transmission,(393)573-2696x83420
183,Julie Hicks,Electrical,+1-414-846-1067x903
184,Andrew Preston,Engine,001-606-454-9549x11809
185,Jared Allen,Brakes,(638)297-2976x921
186,Carrie Cook,Transmission,+1-947-283-8652x48780
187,Veronica Stephens,Engine,241-780-2912
188,Julia Mcbride,Brakes,017.502.1048x41760
189,Michelle Nunez,Brakes,655.816.9098
190,Dennis Gallagher,Engine,728-833-4355
191,Sue Salazar,Engine,2214653258
192,David Carter,Engine,650.759.7639
193,Timothy Manning,Electrical,001-569-564-7771x80624
194,Kelly Stewart,Engine,784-890-4629
195,Joseph Wood,Electrical,+1-193-784-7326x0529
196,Lisa Adams,Transmission,602-281-2018
197,Daniel Douglas,Transmission,855.933.3372
198,Amanda Myers,Electrical,(196)884-6999x1374
199,Jessica Brewer,Brakes,001-226-361-1462x891
200,Sara Newman,Engine,815-968-0574x0150
201,Krista Becker,Transmission,001-506-334-1096
202,Billy Olson,Brakes,259.991.9856x1298
203,Linda Mccall,Tires,202-488-8210x23221
204,David Kaiser,Electrical,8360382616
205,Alex Evans,Transmission,001-965-514-2571x50961
206,Mary Romero,Engine,+1-612-654-7123x027
207,Danielle Barrett,Transmission,134-202-7708
208,Ronald Davis,Transmission,864.533.2816x875
209,Jill Wood,Transmission,031.513.3287x271
210,Nathan Holder,Tires,+1-506-187-6680x556
211,Keith Martin,Transmission,179.384.3692
212,Robert Davis,Engine,961-653-0999x77960
213,Monique Davis,Engine,330-347-4340x286
214,Terri Shepard,Transmission,(445)249-0040x772
215,Jenna Griffin,Brakes,(926)524-8903x973
216,John Gray,Electrical,612-848-5649
217,Brenda Morris,Tires,+1-627-947-8947x70733
218,Theresa Sanchez,Electrical,+1-719-698-9054x4422
219,Patricia Lewis,Transmission,306-611-4779x8261
220,Joel Murray,Tires,001-143-947-7507x5199
221,Stacey Krause,Transmission,001-157-112-7110x5096
222,Kimberly Bauer,Tires,001-273-722-7225x786
223,Jason Franklin,Electrical,+1-034-175-2631x27243
224,Daniel White,Engine,141.727.9041x58723
225,Crystal Peters,Brakes,(732)746-7779x61557
226,Matthew Carr,Electrical,001-977-518-6302x22624
227,Anthony Holland,Engine,+1-721-900-4750x12663
228,Russell Miles,Electrical,001-250-480-1882x515
229,Aimee Benson,Engine,(706)353-4906
230,Benjamin Price,Engine,+1-069-228-3914x453
231,Angela Hicks,Engine,205.678.3037x900
232,Jon Ibarra,Transmission,001-136-537-4605x79235
233,Taylor Decker,Engine,144.701.4661x3168
234,Laura Anderson,Brakes,820.713.4134
235,Juan Miller,Electrical,410-398-4075
236,Rachel Ford,Electrical,144.166.3682x2509
237,Jeremy Jones,Engine,568-504-2147
238,Nathaniel Holmes,Tires,+1-328-827-2503x88524
239,Cameron Turner,Electrical,938.879.5969
240,Hayley Morgan,Brakes,631.755.7931
241,Christopher Soto,Engine,545-346-1911
242,Jeffrey Roberson,Engine,416.276.3400x67505
243,Jody French,Transmission,703-313-3709x52457
244,Maria Nichols,Tires,984.985.4008x15088
245,Kimberly Bailey,Engine,(102)403-1484x62151
246,Angela Dawson,Transmission,244-415-5665x5960
247,Andrew Cox,Transmission,001-288-412-8150x9142
248,Jay Logan,Tires,001-939-257-3569x61303
249,Jennifer Hayes,Electrical,(925)080-9517x939
250,Cynthia Sanders,Engine,(903)812-1166
